Year,Recipient,Analysis,Demographic_Group,Demographic,Demo Variable,Smoking_V,Smoking_L,Smoking_U,Smoking_E,Smoking_RSE,Smoking_N,Smokeless_V,Smokeless_L,Smokeless_U,Smokeless_E,Smokeless_RSE,Smokeless_N,Ecig_V,Ecig_L,Ecig_U,Ecig_E,Ecig_RSE,Ecig_N,Any_V,Any_L,Any_U,Any_E,Any_RSE,Any_N
2019,United States (median),Prevalence,Cigarette Use History,Never smoker,_SMOKER3,,,,,,,2.8,,,,,,,,,,,,,,,,,
2020,United States (median),Prevalence,Total Population,Total Population,,15.5,,,,,,3.7,,,,,,,,,,,,,,,,,
2020,United States (median),Prevalence,Sex,Male,_SEX,17.2,,,,,,6.6,,,,,,,,,,,,,,,,,
2020,United States (median),Prevalence,Sex,Female,_SEX,13.4,,,,,,1,,,,,,,,,,,,,,,,,
2020,United States (median),Prevalence,Race,"White, Non-Hispanic",_IMPRACE,14.6,,,,,,4.5,,,,,,,,,,,,,,,,,
2020,United States (median),Prevalence,Race,"Black, Non-Hispanic",_IMPRACE,18.7,,,,,,2.2,,,,,,,,,,,,,,,,,
2020,United States (median),Prevalence,Race,"Asian, Non-Hispanic",_IMPRACE,7.2,,,,,,0,,,,,,,,,,,,,,,,,
2020,United States (median),Prevalence,Race,"American Indian/Alaskan Native, Non-Hispanic",_IMPRACE,35.9,,,,,,7.4,,,,,,,,,,,,,,,,,
2020,United States (median),Prevalence,Race,Hispanic,_IMPRACE,12.8,,,,,,2.2,,,,,,,,,,,,,,,,,
2020,United States (median),Prevalence,Race,"Other race, Non-Hispanic",_IMPRACE,23.3,,,,,,8.4,,,,,,,,,,,,,,,,,
2020,United States (median),Prevalence,Age,Age 18 to 24,_AGE_G,9.7,,,,,,4.5,,,,,,,,,,,,,,,,,
2020,United States (median),Prevalence,Age,Age 25 to 44,_AGE_G,19.7,,,,,,4.8,,,,,,,,,,,,,,,,,
2020,United States (median),Prevalence,Age,Age 45 to 64,_AGE_G,17.3,,,,,,4,,,,,,,,,,,,,,,,,
2020,United States (median),Prevalence,Age,Age 65 or older,_AGE_G,9.4,,,,,,2,,,,,,,,,,,,,,,,,
2020,United States (median),Prevalence,Education (4 Level),Did not graduate High School,_EDUCAG,28.2,,,,,,6.8,,,,,,,,,,,,,,,,,
2020,United States (median),Prevalence,Education (4 Level),Graduated High School,_EDUCAG,20.2,,,,,,5.2,,,,,,,,,,,,,,,,,
2020,United States (median),Prevalence,Education (4 Level),Attended College or Technical School,_EDUCAG,15.2,,,,,,3.6,,,,,,,,,,,,,,,,,
2020,United States (median),Prevalence,Education (4 Level),Graduated from College or Technical School,_EDUCAG,5.9,,,,,,2.1,,,,,,,,,,,,,,,,,
2020,United States (median),Prevalence,Education (2 Level),Less than college/technical school graduate,_ED_LVL,19.5,,,,,,4.5,,,,,,,,,,,,,,,,,
2020,United States (median),Prevalence,Education (2 Level),Graduate from college/technical school,_ED_LVL,5.9,,,,,,2.1,,,,,,,,,,,,,,,,,
2020,United States (median),Prevalence,Behavioral Health Status,No Behavioral Health Condition,_MENT14D,13.6,,,,,,3.5,,,,,,,,,,,,,,,,,
2020,United States (median),Prevalence,Behavioral Health Status,Behavioral Health Condition,_MENT14D,26.9,,,,,,4.2,,,,,,,,,,,,,,,,,
2020,United States (median),Prevalence,Cigarette Use History,Current smoker,_SMOKER3,,,,,,,6.8,,,,,,,,,,,,,,,,,
2020,United States (median),Prevalence,Cigarette Use History,Former smoker,_SMOKER3,,,,,,,4.9,,,,,,,,,,,,,,,,,
2020,United States (median),Prevalence,Cigarette Use History,Never smoker,_SMOKER3,,,,,,,2.5,,,,,,,,,,,,,,,,,
2021,United States (median),Prevalence,Total Population,Total Population,,14.4,,,,,,3.5,,,,,,6.6,,,,,,21.2,,,,,
2021,United States (median),Prevalence,Sex,Male,_SEX,15.9,,,,,,6.2,,,,,,7.4,,,,,,25.2,,,,,
2021,United States (median),Prevalence,Sex,Female,_SEX,13.2,,,,,,1,,,,,,5.7,,,,,,17.5,,,,,
2021,United States (median),Prevalence,Race,"White, Non-Hispanic",_IMPRACE,13.6,,,,,,4.2,,,,,,6.6,,,,,,21,,,,,
2021,United States (median),Prevalence,Race,"Black, Non-Hispanic",_IMPRACE,16.8,,,,,,2,,,,,,5.7,,,,,,20.9,,,,,
2021,United States (median),Prevalence,Race,"Asian, Non-Hispanic",_IMPRACE,6.9,,,,,,0,,,,,,5.2,,,,,,11.6,,,,,
2021,United States (median),Prevalence,Race,"American Indian/Alaskan Native, Non-Hispanic",_IMPRACE,29.7,,,,,,7.3,,,,,,7.1,,,,,,35.4,,,,,
2021,United States (median),Prevalence,Race,Hispanic,_IMPRACE,12,,,,,,2.2,,,,,,7.6,,,,,,16.8,,,,,
2021,United States (median),Prevalence,Race,"Other race, Non-Hispanic",_IMPRACE,20.6,,,,,,5.1,,,,,,10.4,,,,,,28.2,,,,,
2021,United States (median),Prevalence,Age,Age 18 to 24,_AGE_G,7.3,,,,,,4.4,,,,,,19.5,,,,,,24.6,,,,,
2021,United States (median),Prevalence,Age,Age 25 to 44,_AGE_G,18.4,,,,,,4.5,,,,,,9,,,,,,26.5,,,,,
2021,United States (median),Prevalence,Age,Age 45 to 64,_AGE_G,16.2,,,,,,3.9,,,,,,3.2,,,,,,22,,,,,
2021,United States (median),Prevalence,Age,Age 65 or older,_AGE_G,8.5,,,,,,2,,,,,,1.4,,,,,,11.1,,,,,
2021,United States (median),Prevalence,Education (4 Level),Did not graduate High School,_EDUCAG,26.9,,,,,,6.2,,,,,,8.9,,,,,,38,,,,,
2021,United States (median),Prevalence,Education (4 Level),Graduated High School,_EDUCAG,18.7,,,,,,5.1,,,,,,8.9,,,,,,28.1,,,,,
2021,United States (median),Prevalence,Education (4 Level),Attended College or Technical School,_EDUCAG,14.2,,,,,,3.3,,,,,,7.5,,,,,,21.9,,,,,
2021,United States (median),Prevalence,Education (4 Level),Graduated from College or Technical School,_EDUCAG,5.7,,,,,,2.1,,,,,,3.3,,,,,,9.5,,,,,
2021,United States (median),Prevalence,Education (2 Level),Less than college/technical school graduate,_ED_LVL,17.6,,,,,,4.3,,,,,,8.1,,,,,,26,,,,,
2021,United States (median),Prevalence,Education (2 Level),Graduate from college/technical school,_ED_LVL,5.7,,,,,,2.1,,,,,,3.3,,,,,,9.5,,,,,
2021,United States (median),Prevalence,Behavioral Health Status,No Behavioral Health Condition,_MENT14D,12.6,,,,,,3.6,,,,,,5.2,,,,,,18.8,,,,,
2021,United States (median),Prevalence,Behavioral Health Status,Behavioral Health Condition,_MENT14D,23.8,,,,,,4,,,,,,14.2,,,,,,35.1,,,,,
2021,United States (median),Prevalence,Cigarette Use History,Current smoker,_SMOKER3,,,,,,,7.2,,,,,,14.8,,,,,,100,,,,,
2021,United States (median),Prevalence,Cigarette Use History,Former smoker,_SMOKER3,,,,,,,4.9,,,,,,9.8,,,,,,14.2,,,,,
2021,United States (median),Prevalence,Cigarette Use History,Never smoker,_SMOKER3,,,,,,,2.3,,,,,,3.4,,,,,,5.6,,,,,
2022,United States (median),Prevalence,Total Population,Total Population,,14,,,,,,3.4,,,,,,7.7,,,,,,21.7,,,,,
2022,United States (median),Prevalence,Sex,Male,_SEX,14.5,,,,,,6,,,,,,8.7,,,,,,24.9,,,,,
2022,United States (median),Prevalence,Sex,Female,_SEX,12.9,,,,,,0.9,,,,,,6.6,,,,,,17.4,,,,,
2022,United States (median),Prevalence,Race,"White, Non-Hispanic",_IMPRACE,13.2,,,,,,3.7,,,,,,7.6,,,,,,21.2,,,,,
2022,United States (median),Prevalence,Race,"Black, Non-Hispanic",_IMPRACE,15.4,,,,,,1.6,,,,,,6.6,,,,,,20.8,,,,,
2022,United States (median),Prevalence,Race,"Asian, Non-Hispanic",_IMPRACE,6.5,,,,,,0,,,,,,5.6,,,,,,11.5,,,,,
2022,United States (median),Prevalence,Race,"American Indian/Alaskan Native, Non-Hispanic",_IMPRACE,30.2,,,,,,7.9,,,,,,10.6,,,,,,45.5,,,,,
2022,United States (median),Prevalence,Race,Hispanic,_IMPRACE,11.6,,,,,,2.2,,,,,,8.3,,,,,,19.7,,,,,
2022,United States (median),Prevalence,Race,"Other race, Non-Hispanic",_IMPRACE,21.8,,,,,,8.4,,,,,,13.9,,,,,,32,,,,,
2022,United States (median),Prevalence,Age,Age 18 to 24,_AGE_G,6.7,,,,,,4.1,,,,,,21.3,,,,,,25.4,,,,,
2022,United States (median),Prevalence,Age,Age 25 to 44,_AGE_G,16.6,,,,,,4.5,,,,,,11,,,,,,26.6,,,,,
2022,United States (median),Prevalence,Age,Age 45 to 64,_AGE_G,16.4,,,,,,3.6,,,,,,4,,,,,,20.6,,,,,
2022,United States (median),Prevalence,Age,Age 65 or older,_AGE_G,8.9,,,,,,1.9,,,,,,1.2,,,,,,10.7,,,,,
2022,United States (median),Prevalence,Education (4 Level),Did not graduate High School,_EDUCAG,25.6,,,,,,6,,,,,,9.8,,,,,,36.5,,,,,
2022,United States (median),Prevalence,Education (4 Level),Graduated High School,_EDUCAG,17.8,,,,,,4.8,,,,,,10.2,,,,,,28.3,,,,,
2022,United States (median),Prevalence,Education (4 Level),Attended College or Technical School,_EDUCAG,14.3,,,,,,3.4,,,,,,8.7,,,,,,22.8,,,,,
2022,United States (median),Prevalence,Education (4 Level),Graduated from College or Technical School,_EDUCAG,5.6,,,,,,2.1,,,,,,4,,,,,,10.1,,,,,
2022,United States (median),Prevalence,Education (2 Level),Less than college/technical school graduate,_ED_LVL,17.6,,,,,,4.1,,,,,,9.6,,,,,,25.8,,,,,
2022,United States (median),Prevalence,Education (2 Level),Graduate from college/technical school,_ED_LVL,5.6,,,,,,2.1,,,,,,4,,,,,,10.1,,,,,
2022,United States (median),Prevalence,Behavioral Health Status,No Behavioral Health Condition,_MENT14D,11.6,,,,,,3.2,,,,,,6,,,,,,18.2,,,,,
2022,United States (median),Prevalence,Behavioral Health Status,Behavioral Health Condition,_MENT14D,23.5,,,,,,4.1,,,,,,16.4,,,,,,37.2,,,,,
2022,United States (median),Prevalence,Cigarette Use History,Current smoker,_SMOKER3,,,,,,,7.9,,,,,,17.1,,,,,,100,,,,,
2022,United States (median),Prevalence,Cigarette Use History,Former smoker,_SMOKER3,,,,,,,4.8,,,,,,11.2,,,,,,14.8,,,,,
2022,United States (median),Prevalence,Cigarette Use History,Never smoker,_SMOKER3,,,,,,,2.3,,,,,,4,,,,,,6.2,,,,,
2019,Alabama,Prevalence,Total Population,Total Population,,20.2,18.9,21.6,0.7,3.4,6744,6.2,5.5,7.1,0.4,6.6,6750,,,,,,,,,,,,
2019,Alabama,Prevalence,Sex,Male,_SEX,22.4,20.3,24.5,1.1,4.8,2728,11.4,9.9,13,0.8,6.8,2729,,,,,,,,,,,,
2019,Alabama,Prevalence,Sex,Female,_SEX,18.3,16.7,20.1,0.9,4.7,4016,1.6,1.1,2.4,0.3,20.8,4021,,,,,,,,,,,,
2019,Alabama,Prevalence,Race,"White, Non-Hispanic",_IMPRACE,19.8,18.3,21.5,0.8,4.1,4685,7.4,6.4,8.5,0.5,7.2,4693,,,,,,,,,,,,
2019,Alabama,Prevalence,Race,"Black, Non-Hispanic",_IMPRACE,20.3,17.7,23.1,1.4,6.7,1710,2.8,2,4.1,0.5,18.2,1708,,,,,,,,,,,,
2019,Alabama,Prevalence,Race,"Asian, Non-Hispanic",_IMPRACE,,10.6,43.4,8.5,36.5,35,,0.2,10,1.5,101,35,,,,,,,,,,,,
2019,Alabama,Prevalence,Race,"American Indian/Alaskan Native, Non-Hispanic",_IMPRACE,30.5,19.5,44.3,6.4,21.1,98,,3.5,16.7,3.2,40.5,97,,,,,,,,,,,,
2019,Alabama,Prevalence,Race,Hispanic,_IMPRACE,20.4,12.4,31.5,4.9,23.9,88,,1.6,18.9,3.7,63.8,89,,,,,,,,,,,,
2019,Alabama,Prevalence,Race,"Other race, Non-Hispanic",_IMPRACE,28.2,19.5,38.8,5,17.7,128,,4.8,18.2,3.3,34.4,128,,,,,,,,,,,,
2019,Alabama,Prevalence,Age,Age 18 to 24,_AGE_G,12.6,9.1,17.3,2.1,16.6,322,7,4.6,10.5,1.5,21.1,321,,,,,,,,,,,,
2019,Alabama,Prevalence,Age,Age 25 to 44,_AGE_G,28.3,25.5,31.3,1.5,5.2,1393,8.3,6.7,10.3,0.9,11.1,1392,,,,,,,,,,,,
2019,Alabama,Prevalence,Age,Age 45 to 64,_AGE_G,21.7,19.7,23.9,1.1,5,2453,5.1,4.1,6.3,0.5,10.7,2451,,,,,,,,,,,,
2019,Alabama,Prevalence,Age,Age 65 or older,_AGE_G,10.8,9.3,12.5,0.8,7.4,2576,4.7,3.6,6.1,0.6,13.4,2586,,,,,,,,,,,,
2019,Alabama,Prevalence,Education (4 Level),Did not graduate High School,_EDUCAG,35.1,30.3,40.3,2.6,7.3,603,9.4,6.7,12.9,1.6,16.8,602,,,,,,,,,,,,
2019,Alabama,Prevalence,Education (4 Level),Graduated High School,_EDUCAG,24.3,21.9,26.9,1.3,5.2,1982,7.2,5.9,8.8,0.7,10.4,1988,,,,,,,,,,,,
2019,Alabama,Prevalence,Education (4 Level),Attended College or Technical School,_EDUCAG,18.4,16.3,20.7,1.1,6.1,1946,5.9,4.6,7.5,0.7,12.3,1945,,,,,,,,,,,,
2019,Alabama,Prevalence,Education (4 Level),Graduated from College or Technical School,_EDUCAG,8,6.7,9.4,0.7,8.6,2202,3.4,2.6,4.4,0.5,14,2204,,,,,,,,,,,,
2019,Alabama,Prevalence,Education (2 Level),Less than college/technical school graduate,_ED_LVL,23.9,22.3,25.6,0.9,3.6,4531,7.1,6.1,8.1,0.5,7.3,4535,,,,,,,,,,,,
2019,Alabama,Prevalence,Education (2 Level),Graduate from college/technical school,_ED_LVL,8,6.7,9.4,0.7,8.6,2202,3.4,2.6,4.4,0.5,14,2204,,,,,,,,,,,,
2019,Alabama,Prevalence,Behavioral Health Status,No Behavioral Health Condition,_MENT14D,17.1,15.8,18.5,0.7,4.1,5626,6.2,5.3,7.1,0.5,7.3,5635,,,,,,,,,,,,
2019,Alabama,Prevalence,Behavioral Health Status,Behavioral Health Condition,_MENT14D,34.4,30.5,38.4,2,5.9,996,6.8,4.9,9.2,1.1,16.1,994,,,,,,,,,,,,
2019,Alabama,Prevalence,Cigarette Use History,Current smoker,_SMOKER3,,100,100,0,0,1158,7.1,5.5,9.3,1,13.5,1152,,,,,,,,,,,,
2019,Alabama,Prevalence,Cigarette Use History,Former smoker,_SMOKER3,,0,0,0,,1768,9.4,7.6,11.5,1,10.6,1763,,,,,,,,,,,,
2019,Alabama,Prevalence,Cigarette Use History,Never smoker,_SMOKER3,,0,0,0,,3818,4.5,3.6,5.5,0.5,10.9,3809,,,,,,,,,,,,
2020,Alabama,Prevalence,Total Population,Total Population,,18.5,17.1,20,0.7,4.1,5113,5.7,4.9,6.7,0.4,7.8,5126,,,,,,,,,,,,
2020,Alabama,Prevalence,Sex,Male,_SEX,20.5,18.3,22.9,1.2,5.8,2090,10.1,8.6,11.9,0.8,8.2,2094,,,,,,,,,,,,
2020,Alabama,Prevalence,Sex,Female,_SEX,16.6,14.9,18.5,0.9,5.6,3023,1.6,1.1,2.6,0.4,22.5,3032,,,,,,,,,,,,
2020,Alabama,Prevalence,Race,"White, Non-Hispanic",_IMPRACE,17.9,16.2,19.6,0.9,4.8,3567,7.1,6,8.3,0.6,8.5,3581,,,,,,,,,,,,
2020,Alabama,Prevalence,Race,"Black, Non-Hispanic",_IMPRACE,18,15.3,21,1.5,8.1,1270,2.4,1.5,3.9,0.6,24,1270,,,,,,,,,,,,
2020,Alabama,Prevalence,Race,"Asian, Non-Hispanic",_IMPRACE,,0.4,16.1,2.5,99.4,38,,0,0,0,,38,,,,,,,,,,,,
2020,Alabama,Prevalence,Race,"American Indian/Alaskan Native, Non-Hispanic",_IMPRACE,35.8,21.7,52.9,8.2,22.8,64,,4,27.5,5.6,49.9,63,,,,,,,,,,,,
2020,Alabama,Prevalence,Race,Hispanic,_IMPRACE,22.2,12.1,37.1,6.4,28.8,77,,0.1,5.2,0.8,100.3,77,,,,,,,,,,,,
2020,Alabama,Prevalence,Race,"Other race, Non-Hispanic",_IMPRACE,32.4,21.1,46.3,6.6,20.2,97,,3,18.2,3.6,46.5,97,,,,,,,,,,,,
2020,Alabama,Prevalence,Age,Age 18 to 24,_AGE_G,11.1,7.4,16.3,2.2,20.2,305,4.7,2.7,8.3,1.4,29.2,306,,,,,,,,,,,,
2020,Alabama,Prevalence,Age,Age 25 to 44,_AGE_G,24.3,21.4,27.4,1.5,6.4,1183,6.8,5.2,8.7,0.9,13.2,1182,,,,,,,,,,,,
2020,Alabama,Prevalence,Age,Age 45 to 64,_AGE_G,21.5,19.1,24.1,1.3,6,1794,6.3,4.9,8,0.8,12.6,1797,,,,,,,,,,,,
2020,Alabama,Prevalence,Age,Age 65 or older,_AGE_G,9.9,8.3,11.8,0.9,9.1,1831,3.9,2.8,5.5,0.7,17,1841,,,,,,,,,,,,
2020,Alabama,Prevalence,Education (4 Level),Did not graduate High School,_EDUCAG,35.9,30.4,41.7,2.9,8.1,447,6.8,4.5,10,1.4,20.3,452,,,,,,,,,,,,
2020,Alabama,Prevalence,Education (4 Level),Graduated High School,_EDUCAG,22.5,19.9,25.3,1.4,6.2,1466,7.9,6.2,10,1,12.2,1464,,,,,,,,,,,,
2020,Alabama,Prevalence,Education (4 Level),Attended College or Technical School,_EDUCAG,15.2,13,17.6,1.2,7.8,1434,5.4,4.1,7.1,0.8,14.3,1440,,,,,,,,,,,,
2020,Alabama,Prevalence,Education (4 Level),Graduated from College or Technical School,_EDUCAG,7.1,5.8,8.7,0.7,10.5,1757,2.6,1.8,3.7,0.5,18.5,1760,,,,,,,,,,,,
2020,Alabama,Prevalence,Education (2 Level),Less than college/technical school graduate,_ED_LVL,21.9,20.2,23.8,0.9,4.3,3347,6.6,5.6,7.8,0.6,8.5,3356,,,,,,,,,,,,
2020,Alabama,Prevalence,Education (2 Level),Graduate from college/technical school,_ED_LVL,7.1,5.8,8.7,0.7,10.5,1757,2.6,1.8,3.7,0.5,18.5,1760,,,,,,,,,,,,
2020,Alabama,Prevalence,Behavioral Health Status,No Behavioral Health Condition,_MENT14D,16.2,14.7,17.8,0.8,4.8,4308,5.9,5,7,0.5,8.5,4319,,,,,,,,,,,,
2020,Alabama,Prevalence,Behavioral Health Status,Behavioral Health Condition,_MENT14D,30.3,26.1,34.8,2.2,7.4,725,4.9,3.2,7.3,1,21.3,728,,,,,,,,,,,,
2020,Alabama,Prevalence,Cigarette Use History,Current smoker,_SMOKER3,,100,100,0,0,805,5.9,4.2,8.3,1,17.5,802,,,,,,,,,,,,
2020,Alabama,Prevalence,Cigarette Use History,Former smoker,_SMOKER3,,0,0,0,,1361,7.5,5.8,9.6,1,12.9,1359,,,,,,,,,,,,
2020,Alabama,Prevalence,Cigarette Use History,Never smoker,_SMOKER3,,0,0,0,,2947,4.9,3.9,6.2,0.6,11.9,2941,,,,,,,,,,,,
2021,Alabama,Prevalence,Total Population,Total Population,,17.2,15.7,18.9,0.8,4.7,4387,5.5,4.6,6.6,0.5,9,4398,9.1,8,10.5,0.6,6.9,4393,27.1,25.3,29,0.9,3.5,4383
2021,Alabama,Prevalence,Sex,Male,_SEX,19.1,16.7,21.7,1.3,6.6,1752,10.3,8.6,12.4,1,9.4,1759,11.4,9.5,13.6,1,9.1,1755,34.3,31.4,37.3,1.5,4.4,1751
2021,Alabama,Prevalence,Sex,Female,_SEX,15.5,13.7,17.7,1,6.5,2635,1.1,0.7,1.8,0.3,23.9,2639,7.1,5.8,8.7,0.8,10.6,2638,20.6,18.4,22.9,1.1,5.5,2632
2021,Alabama,Prevalence,Race,"White, Non-Hispanic",_IMPRACE,18,16.1,20,1,5.5,3007,6.4,5.3,7.8,0.7,10.1,3018,9.9,8.5,11.6,0.8,7.9,3015,29.4,27.1,31.7,1.2,3.9,3006
2021,Alabama,Prevalence,Race,"Black, Non-Hispanic",_IMPRACE,17.3,14.3,20.7,1.6,9.4,1120,3.2,2,4.9,0.7,22.7,1120,6.4,4.5,8.9,1.1,17.4,1118,22.4,19.1,26.1,1.8,7.9,1117
2021,Alabama,Prevalence,Race,"Asian, Non-Hispanic",_IMPRACE,,2.9,23.6,4.8,54.7,38,,0,0,0,,38,,3.8,40.8,8.9,62.8,38,,9.2,46.4,9.7,42.4,38
2021,Alabama,Prevalence,Race,"American Indian/Alaskan Native, Non-Hispanic",_IMPRACE,,6.8,37,7.6,44,38,,4.1,49.6,11.3,66.1,38,,3.5,36.9,7.9,61.6,38,,18.2,61.1,11.7,31.4,38
2021,Alabama,Prevalence,Race,Hispanic,_IMPRACE,,1.4,15.1,2.9,60.6,76,,0.3,6.5,1.1,78.2,76,,3.7,20.7,4,44.5,76,,6,23.8,4.4,35.4,76
2021,Alabama,Prevalence,Race,"Other race, Non-Hispanic",_IMPRACE,20.7,12.2,33,5.3,25.6,108,,5.2,23,4.3,38.4,108,,6.9,22.8,3.9,30.5,108,36.7,25.6,49.4,6.2,16.8,108
2021,Alabama,Prevalence,Age,Age 18 to 24,_AGE_G,,2.5,9.6,1.7,34.1,239,,1.8,6.7,1.2,34,239,19.4,14.2,25.8,2.9,15.2,238,23.7,18,30.6,3.2,13.5,238
2021,Alabama,Prevalence,Age,Age 25 to 44,_AGE_G,22.2,19,25.7,1.7,7.7,982,7.4,5.6,9.9,1.1,14.6,984,13.5,11.1,16.3,1.3,9.9,983,35,31.4,38.8,1.9,5.4,983
2021,Alabama,Prevalence,Age,Age 45 to 64,_AGE_G,20.4,17.8,23.2,1.4,6.7,1460,5.5,4.1,7.2,0.8,14.4,1461,6.8,5.2,8.8,0.9,13.3,1459,28.6,25.7,31.7,1.5,5.4,1457
2021,Alabama,Prevalence,Age,Age 65 or older,_AGE_G,12.3,10.1,14.9,1.2,9.9,1706,4,2.7,6,0.8,20.7,1714,1.4,0.9,2.3,0.3,23.6,1713,16.1,13.6,18.9,1.4,8.5,1705
2021,Alabama,Prevalence,Education (4 Level),Did not graduate High School,_EDUCAG,34.2,28,41.1,3.3,9.8,339,9.5,6.3,14,1.9,20.5,340,9.6,6.2,14.5,2.1,21.6,338,44.1,37.4,51.1,3.5,7.9,338
2021,Alabama,Prevalence,Education (4 Level),Graduated High School,_EDUCAG,19.6,16.8,22.8,1.5,7.8,1188,6.1,4.6,8.2,0.9,14.8,1192,10,7.9,12.6,1.2,11.9,1190,29.7,26.4,33.3,1.8,5.9,1187
2021,Alabama,Prevalence,Education (4 Level),Attended College or Technical School,_EDUCAG,15.9,13.7,18.4,1.2,7.7,1231,5.3,3.8,7.4,0.9,16.9,1233,11.5,9.3,14.1,1.2,10.8,1233,28.8,25.7,32.2,1.6,5.7,1230
2021,Alabama,Prevalence,Education (4 Level),Graduated from College or Technical School,_EDUCAG,6.4,5.1,8,0.8,11.8,1617,2.8,1.9,4.1,0.6,20.2,1621,4.8,3.5,6.4,0.7,15.6,1620,12,10.1,14.1,1,8.4,1616
2021,Alabama,Prevalence,Education (2 Level),Less than college/technical school graduate,_ED_LVL,20.7,18.8,22.8,1,4.9,2758,6.4,5.3,7.8,0.6,9.8,2765,10.5,9.1,12.2,0.8,7.6,2761,31.9,29.7,34.3,1.2,3.7,2755
2021,Alabama,Prevalence,Education (2 Level),Graduate from college/technical school,_ED_LVL,6.4,5.1,8,0.8,11.8,1617,2.8,1.9,4.1,0.6,20.2,1621,4.8,3.5,6.4,0.7,15.6,1620,12,10.1,14.1,1,8.4,1616
2021,Alabama,Prevalence,Behavioral Health Status,No Behavioral Health Condition,_MENT14D,14.6,13.1,16.3,0.8,5.7,3646,5.7,4.7,6.9,0.6,9.8,3654,6.9,5.8,8.2,0.6,8.8,3651,23.7,21.8,25.8,1,4.2,3643
2021,Alabama,Prevalence,Behavioral Health Status,Behavioral Health Condition,_MENT14D,29.3,24.8,34.1,2.4,8.1,676,4.5,2.8,7.3,1.1,24.3,678,19.5,15.7,24,2.1,10.8,677,42.8,37.9,47.9,2.6,6,675
2021,Alabama,Prevalence,Cigarette Use History,Current smoker,_SMOKER3,,100,100,0,0,628,8.6,6.1,12.1,1.5,17.3,628,17.5,14,21.7,2,11.2,626,100,100,100,0,0,628
