Year,Recipient,Demographic_Group,Demographic,Demo Variable,Current Cigarette_V,Current Cigarette_L,Current Cigarette_U,Current Cigarette_E,Current Cigarette_RSE,Current Cigarette_N,Current Smokeless_V,Current Smokeless_L,Current Smokeless_U,Current Smokeless_E,Current Smokeless_RSE,Current Smokeless_N,Current E-cigarette_V,Current E-cigarette_L,Current E-cigarette_U,Current E-cigarette_E,Current E-cigarette_RSE,Current E-cigarette_N,Current Any Tobacco Product_V,Current Any Tobacco Product_L,Current Any Tobacco Product_U,Current Any Tobacco Product_E,Current Any Tobacco Product_RSE,Current Any Tobacco Product_N,Past-Year Quit Attempt_V,Past-Year Quit Attempt_L,Past-Year Quit Attempt_U,Past-Year Quit Attempt_E,Past-Year Quit Attempt_RSE,Past-Year Quit Attempt_N
2019,Alabama,Cigarette Use History,Current smoker,_SMOKER3,,100,100,0,0,1158,7.1,5.5,9.3,1,13.5,1152,,,,,,,,,,,,,,,,,,
2019,Alabama,Cigarette Use History,Former smoker,_SMOKER3,,0,0,0,,1768,9.4,7.6,11.5,1,10.6,1763,,,,,,,,,,,,,,,,,,
2019,Alabama,Cigarette Use History,Never smoker,_SMOKER3,,0,0,0,,3818,4.5,3.6,5.5,0.5,10.9,3809,,,,,,,,,,,,,,,,,,
2020,Alabama,Cigarette Use History,Current smoker,_SMOKER3,,100,100,0,0,805,5.9,4.2,8.3,1,17.5,802,,,,,,,,,,,,,,,,,,
2020,Alabama,Cigarette Use History,Former smoker,_SMOKER3,,0,0,0,,1361,7.5,5.8,9.6,1,12.9,1359,,,,,,,,,,,,,,,,,,
2020,Alabama,Cigarette Use History,Never smoker,_SMOKER3,,0,0,0,,2947,4.9,3.9,6.2,0.6,11.9,2941,,,,,,,,,,,,,,,,,,
2021,Alabama,Cigarette Use History,Current smoker,_SMOKER3,,100,100,0,0,628,8.6,6.1,12.1,1.5,17.3,628,17.5,14,21.7,2,11.2,626,100,100,100,0,0,628,,,,,,
2021,Alabama,Cigarette Use History,Former smoker,_SMOKER3,,0,0,0,,1113,7.2,5.3,9.7,1.1,15.7,1113,15,12.1,18.3,1.6,10.6,1113,21.1,17.8,24.8,1.8,8.5,1113,,,,,,
2021,Alabama,Cigarette Use History,Never smoker,_SMOKER3,,0,0,0,,2646,3.9,3,5.2,0.6,14.2,2643,4.2,3.2,5.6,0.6,14.2,2639,8,6.6,9.7,0.8,9.9,2639,,,,,,
2022,Alabama,Cigarette Use History,Current smoker,_SMOKER3,,100,100,0,0,597,7.9,4.7,13,2,25.7,597,22.2,17.3,28,2.7,12.3,596,100,100,100,0,0,597,,,,,,
2022,Alabama,Cigarette Use History,Former smoker,_SMOKER3,,0,0,0,,1115,6.8,5,9.1,1,15.5,1113,14.2,11.2,17.8,1.7,11.8,1109,19.9,16.6,23.7,1.8,9.1,1108,,,,,,
2022,Alabama,Cigarette Use History,Never smoker,_SMOKER3,,0,0,0,,2576,3.7,2.6,5.3,0.7,18.4,2571,5.9,4.6,7.6,0.8,13.3,2561,9.2,7.4,11.4,1,10.8,2561,,,,,,
2023,Alabama,Cigarette Use History,Current smoker,_SMOKER3,,100,100,0,0,548,9.7,6.7,13.8,1.8,18.3,546,17.9,13.9,22.8,2.3,12.7,546,100,100,100,0,0,548,,,,,,
2023,Alabama,Cigarette Use History,Former smoker,_SMOKER3,,0,0,0,,1075,8.2,6.1,10.9,1.2,14.6,1075,16.3,13.3,19.9,1.7,10.3,1068,21.8,18.5,25.5,1.8,8.2,1071,,,,,,
2023,Alabama,Cigarette Use History,Never smoker,_SMOKER3,,0,0,0,,2602,4.4,3.5,5.6,0.5,12.1,2600,5,3.6,6.8,0.8,16,2590,8.9,7.2,10.8,0.9,10.3,2591,,,,,,
2019,Alabama,Education (2 Level),Graduate from college/technical school,_ED_LVL,8,6.7,9.4,0.7,8.6,2202,3.4,2.6,4.4,0.5,14,2204,,,,,,,,,,,,,65,59.7,69.9,2.6,0.1,333
2019,Alabama,Education (2 Level),Less than college/technical school graduate,_ED_LVL,23.9,22.3,25.6,0.9,3.6,4531,7.1,6.1,8.1,0.5,7.3,4535,,,,,,,,,,,,,58.4,53.3,63.3,2.6,0.1,374
2020,Alabama,Education (2 Level),Graduate from college/technical school,_ED_LVL,7.1,5.8,8.7,0.7,10.5,1757,2.6,1.8,3.7,0.5,18.5,1760,,,,,,,,,,,,,60.7,54.1,66.9,3.3,0.1,195
2020,Alabama,Education (2 Level),Less than college/technical school graduate,_ED_LVL,21.9,20.2,23.8,0.9,4.3,3347,6.6,5.6,7.8,0.6,8.5,3356,,,,,,,,,,,,,64.2,58.5,69.6,2.8,0.1,289
2021,Alabama,Education (2 Level),Graduate from college/technical school,_ED_LVL,6.4,5.1,8,0.8,11.8,1617,2.8,1.9,4.1,0.6,20.2,1621,4.8,3.5,6.4,0.7,15.6,1620,12,10.1,14.1,1,8.4,1616,,,,,,
2021,Alabama,Education (2 Level),Less than college/technical school graduate,_ED_LVL,20.7,18.8,22.8,1,4.9,2758,6.4,5.3,7.8,0.6,9.8,2765,10.5,9.1,12.2,0.8,7.6,2761,31.9,29.7,34.3,1.2,3.7,2755,,,,,,
2022,Alabama,Education (2 Level),Graduate from college/technical school,_ED_LVL,5.2,4,6.8,0.7,13.5,1441,3.4,2.4,4.8,0.6,18.1,1446,6.2,4.7,8.2,0.9,14,1445,13.1,11,15.6,1.2,8.9,1438,,,,,,
2022,Alabama,Education (2 Level),Less than college/technical school graduate,_ED_LVL,18.9,17,21,1,5.4,2834,5.6,4.3,7.2,0.7,13.1,2842,11.8,10,13.8,1,8.3,2829,30.2,27.8,32.7,1.3,4.2,2818,,,,,,
2023,Alabama,Education (2 Level),Graduate from college/technical school,_ED_LVL,6.3,4.8,8.3,0.9,13.7,1470,4.2,3.2,5.7,0.6,14.9,1476,5.1,3.9,6.8,0.7,14.4,1470,13.6,11.4,16,1.2,8.6,1466,47.9,39.8,56.1,4.2,0.1,117
2023,Alabama,Education (2 Level),Less than college/technical school graduate,_ED_LVL,16.8,15.1,18.6,0.9,5.4,2747,6.7,5.5,8,0.6,9.6,2757,10.9,9.2,12.8,0.9,8.4,2746,28.7,26.5,31,1.2,4.1,2738,52.4,44.6,60.1,4,0.1,135
2019,Alabama,Education (4 Level),Graduated from College or Technical School,_EDUCAG,8,6.7,9.4,0.7,8.6,2202,3.4,2.6,4.4,0.5,14,2204,,,,,,,,,,,,,59.1,50.1,67.6,4.5,0.1,113
2019,Alabama,Education (4 Level),Attended College or Technical School,_EDUCAG,18.4,16.3,20.7,1.1,6.1,1946,5.9,4.6,7.5,0.7,12.3,1945,,,,,,,,,,,,,66.8,60.5,72.5,3.1,0.1,220
2019,Alabama,Education (4 Level),Graduated High School,_EDUCAG,24.3,21.9,26.9,1.3,5.2,1982,7.2,5.9,8.8,0.7,10.4,1988,,,,,,,,,,,,,57.9,51.9,63.6,3,0.1,260
2019,Alabama,Education (4 Level),Did not graduate High School,_EDUCAG,35.1,30.3,40.3,2.6,7.3,603,9.4,6.7,12.9,1.6,16.8,602,,,,,,,,,,,,,59.3,50.1,67.8,4.6,0.1,114
2020,Alabama,Education (4 Level),Graduated from College or Technical School,_EDUCAG,7.1,5.8,8.7,0.7,10.5,1757,2.6,1.8,3.7,0.5,18.5,1760,,,,,,,,,,,,,57.1,46.4,67.1,5.4,0.1,74
2020,Alabama,Education (4 Level),Attended College or Technical School,_EDUCAG,15.2,13,17.6,1.2,7.8,1434,5.4,4.1,7.1,0.8,14.3,1440,,,,,,,,,,,,,61.9,53.8,69.3,4,0.1,121
2020,Alabama,Education (4 Level),Graduated High School,_EDUCAG,22.5,19.9,25.3,1.4,6.2,1466,7.9,6.2,10,1,12.2,1464,,,,,,,,,,,,,65,58.4,71.1,3.3,0.1,195
2020,Alabama,Education (4 Level),Did not graduate High School,_EDUCAG,35.9,30.4,41.7,2.9,8.1,447,6.8,4.5,10,1.4,20.3,452,,,,,,,,,,,,,63.2,53,72.4,5,0.1,94
2021,Alabama,Education (4 Level),Graduated from College or Technical School,_EDUCAG,6.4,5.1,8,0.8,11.8,1617,2.8,1.9,4.1,0.6,20.2,1621,4.8,3.5,6.4,0.7,15.6,1620,12,10.1,14.1,1,8.4,1616,,,,,,
2021,Alabama,Education (4 Level),Attended College or Technical School,_EDUCAG,15.9,13.7,18.4,1.2,7.7,1231,5.3,3.8,7.4,0.9,16.9,1233,11.5,9.3,14.1,1.2,10.8,1233,28.8,25.7,32.2,1.6,5.7,1230,,,,,,
2021,Alabama,Education (4 Level),Graduated High School,_EDUCAG,19.6,16.8,22.8,1.5,7.8,1188,6.1,4.6,8.2,0.9,14.8,1192,10,7.9,12.6,1.2,11.9,1190,29.7,26.4,33.3,1.8,5.9,1187,,,,,,
2021,Alabama,Education (4 Level),Did not graduate High School,_EDUCAG,34.2,28,41.1,3.3,9.8,339,9.5,6.3,14,1.9,20.5,340,9.6,6.2,14.5,2.1,21.6,338,44.1,37.4,51.1,3.5,7.9,338,,,,,,
2022,Alabama,Education (4 Level),Graduated from College or Technical School,_EDUCAG,5.2,4,6.8,0.7,13.5,1441,3.4,2.4,4.8,0.6,18.1,1446,6.2,4.7,8.2,0.9,14,1445,13.1,11,15.6,1.2,8.9,1438,,,,,,
2022,Alabama,Education (4 Level),Attended College or Technical School,_EDUCAG,14.8,12.3,17.7,1.4,9.2,1314,3.8,2.7,5.4,0.7,18,1318,12.8,10.1,16.2,1.5,12.1,1311,25.4,22.2,28.9,1.7,6.7,1306,,,,,,
2022,Alabama,Education (4 Level),Graduated High School,_EDUCAG,19,16.1,22.3,1.6,8.3,1173,5.3,4,7.1,0.8,14.7,1178,12.7,9.8,16.1,1.6,12.6,1173,30.7,27.1,34.5,1.9,6.2,1168,,,,,,
2022,Alabama,Education (4 Level),Did not graduate High School,_EDUCAG,28.6,22.6,35.4,3.3,11.5,347,,5.6,19,3.3,31.5,346,7.1,4.4,11.4,1.8,24.6,345,40.8,33.5,48.4,3.8,9.4,344,,,,,,
2023,Alabama,Education (4 Level),Graduated from College or Technical School,_EDUCAG,6.3,4.8,8.3,0.9,13.7,1470,4.2,3.2,5.7,0.6,14.9,1476,5.1,3.9,6.8,0.7,14.4,1470,13.6,11.4,16,1.2,8.6,1466,,,,,,
2023,Alabama,Education (4 Level),Attended College or Technical School,_EDUCAG,13,10.9,15.4,1.1,8.8,1226,5.2,3.8,7.1,0.8,16,1231,9.8,7.6,12.6,1.3,13,1229,23.9,20.9,27.2,1.6,6.7,1225,49,39.4,58.6,5,0.1,81
2023,Alabama,Education (4 Level),Graduated High School,_EDUCAG,16.7,14.2,19.7,1.4,8.5,1176,7.3,5.5,9.6,1,14.2,1182,10.9,8.6,13.7,1.3,12,1177,28.3,25,31.8,1.7,6.1,1172,49.7,40.4,59.1,4.8,0.1,90
2023,Alabama,Education (4 Level),Did not graduate High School,_EDUCAG,26.2,20.8,32.5,3,11.4,345,9,5.9,13.6,1.9,21.5,344,13.7,8.8,20.7,3,21.9,340,41.6,34.8,48.8,3.6,8.6,341,,,,,,
2019,Alabama,Frequent Mental Distress,No,_MENT14D,17.1,15.8,18.5,0.7,4.1,5626,6.2,5.3,7.1,0.5,7.3,5635,,,,,,,,,,,,,60.6,56.1,64.9,2.3,0,488
2019,Alabama,Frequent Mental Distress,Yes,_MENT14D,34.4,30.5,38.4,2,5.9,996,6.8,4.9,9.2,1.1,16.1,994,,,,,,,,,,,,,60.1,53,66.9,3.6,0.1,201
2020,Alabama,Frequent Mental Distress,No,_MENT14D,16.2,14.7,17.8,0.8,4.8,4308,5.9,5,7,0.5,8.5,4319,,,,,,,,,,,,,62.3,57.1,67.2,2.6,0,348
2020,Alabama,Frequent Mental Distress,Yes,_MENT14D,30.3,26.1,34.8,2.2,7.4,725,4.9,3.2,7.3,1,21.3,728,,,,,,,,,,,,,68,59.5,75.5,4.1,0.1,131
2021,Alabama,Frequent Mental Distress,No,_MENT14D,14.6,13.1,16.3,0.8,5.7,3646,5.7,4.7,6.9,0.6,9.8,3654,6.9,5.8,8.2,0.6,8.8,3651,23.7,21.8,25.8,1,4.2,3643,,,,,,
2021,Alabama,Frequent Mental Distress,Yes,_MENT14D,29.3,24.8,34.1,2.4,8.1,676,4.5,2.8,7.3,1.1,24.3,678,19.5,15.7,24,2.1,10.8,677,42.8,37.9,47.9,2.6,6,675,,,,,,
2022,Alabama,Frequent Mental Distress,No,_MENT14D,12.7,11.3,14.3,0.8,6.2,3543,4.6,3.6,5.9,0.6,12.9,3552,8.5,7,10.1,0.8,9.4,3542,22,20,24.1,1,4.8,3528,,,,,,
2022,Alabama,Frequent Mental Distress,Yes,_MENT14D,28,23.2,33.3,2.6,9.2,660,7.2,4.4,11.7,1.8,25,664,19.2,15.1,24.2,2.3,12.1,659,43.8,38.4,49.2,2.8,6.3,656,,,,,,
2023,Alabama,Frequent Mental Distress,No,_MENT14D,12.4,11,14,0.8,6.2,3572,5.7,4.7,6.8,0.5,9.3,3587,7.9,6.5,9.4,0.7,9.5,3579,22,20.1,24,1,4.5,3564,49.6,42.7,56.5,3.5,0.1,174
2023,Alabama,Frequent Mental Distress,Yes,_MENT14D,22.5,18.7,26.9,2.1,9.3,587,7.5,5.1,11,1.5,19.8,588,17.8,13.8,22.6,2.2,12.5,582,39.2,34.1,44.5,2.6,6.8,582,54.5,43.9,64.7,5.4,0.1,71
2019,Alabama,Race,"White, Non-Hispanic",_IMPRACE,19.8,18.3,21.5,0.8,4.1,4685,7.4,6.4,8.5,0.5,7.2,4693,,,,,,,,,,,,,56.4,51.8,60.9,2.3,0,435
2019,Alabama,Race,"Black, Non-Hispanic",_IMPRACE,20.3,17.7,23.1,1.4,6.7,1710,2.8,2,4.1,0.5,18.2,1708,,,,,,,,,,,,,72.9,65.8,79,3.4,0.1,215
2019,Alabama,Race,Hispanic,_IMPRACE,20.4,12.4,31.5,4.9,23.9,88,,1.6,18.9,3.7,63.8,89,,,,,,,,,,,,,,,,,,
2019,Alabama,Race,"Other race, Non-Hispanic",_IMPRACE,28.2,19.5,38.8,5,17.7,128,,4.8,18.2,3.3,34.4,128,,,,,,,,,,,,,,,,,,
2019,Alabama,Race,"American Indian/Alaskan Native, Non-Hispanic",_IMPRACE,30.5,19.5,44.3,6.4,21.1,98,,3.5,16.7,3.2,40.5,97,,,,,,,,,,,,,,,,,,
2019,Alabama,Race,"Asian, Non-Hispanic",_IMPRACE,,10.6,43.4,8.5,36.5,35,,0.2,10,1.5,101,35,,,,,,,,,,,,,,,,,,
2020,Alabama,Race,"White, Non-Hispanic",_IMPRACE,17.9,16.2,19.6,0.9,4.8,3567,7.1,6,8.3,0.6,8.5,3581,,,,,,,,,,,,,55.7,50.3,60.9,2.7,0.1,302
2020,Alabama,Race,"Black, Non-Hispanic",_IMPRACE,18,15.3,21,1.5,8.1,1270,2.4,1.5,3.9,0.6,24,1270,,,,,,,,,,,,,76.3,69,82.3,3.4,0.1,139
2020,Alabama,Race,Hispanic,_IMPRACE,22.2,12.1,37.1,6.4,28.8,77,,0.1,5.2,0.8,100.3,77,,,,,,,,,,,,,,,,,,
2020,Alabama,Race,"Other race, Non-Hispanic",_IMPRACE,32.4,21.1,46.3,6.6,20.2,97,,3,18.2,3.6,46.5,97,,,,,,,,,,,,,,,,,,
2020,Alabama,Race,"American Indian/Alaskan Native, Non-Hispanic",_IMPRACE,35.8,21.7,52.9,8.2,22.8,64,,4,27.5,5.6,49.9,63,,,,,,,,,,,,,,,,,,
2020,Alabama,Race,"Asian, Non-Hispanic",_IMPRACE,,0.4,16.1,2.5,99.4,38,,0,0,0,,38,,,,,,,,,,,,,,,,,,
2021,Alabama,Race,"Black, Non-Hispanic",_IMPRACE,17.3,14.3,20.7,1.6,9.4,1120,3.2,2,4.9,0.7,22.7,1120,6.4,4.5,8.9,1.1,17.4,1118,22.4,19.1,26.1,1.8,7.9,1117,,,,,,
2021,Alabama,Race,"White, Non-Hispanic",_IMPRACE,18,16.1,20,1,5.5,3007,6.4,5.3,7.8,0.7,10.1,3018,9.9,8.5,11.6,0.8,7.9,3015,29.4,27.1,31.7,1.2,3.9,3006,,,,,,
2021,Alabama,Race,"Other race, Non-Hispanic",_IMPRACE,20.7,12.2,33,5.3,25.6,108,,5.2,23,4.3,38.4,108,,6.9,22.8,3.9,30.5,108,36.7,25.6,49.4,6.2,16.8,108,,,,,,
2021,Alabama,Race,"Asian, Non-Hispanic",_IMPRACE,,2.9,23.6,4.8,54.7,38,,0,0,0,,38,,3.8,40.8,8.9,62.8,38,,9.2,46.4,9.7,42.4,38,,,,,,
2021,Alabama,Race,"American Indian/Alaskan Native, Non-Hispanic",_IMPRACE,,6.8,37,7.6,44,38,,4.1,49.6,11.3,66.1,38,,3.5,36.9,7.9,61.6,38,,18.2,61.1,11.7,31.4,38,,,,,,
2021,Alabama,Race,Hispanic,_IMPRACE,,1.4,15.1,2.9,60.6,76,,0.3,6.5,1.1,78.2,76,,3.7,20.7,4,44.5,76,,6,23.8,4.4,35.4,76,,,,,,
2022,Alabama,Race,"Black, Non-Hispanic",_IMPRACE,14.7,12.1,17.7,1.4,9.7,1199,3,1.9,4.7,0.7,23.4,1201,6.4,4.3,9.4,1.3,19.7,1196,21.2,18,24.9,1.8,8.3,1195,,,,,,
2022,Alabama,Race,"White, Non-Hispanic",_IMPRACE,14.8,13.1,16.6,0.9,6,2855,6.1,4.8,7.7,0.8,12.4,2866,11,9.4,12.9,0.9,8,2858,27.1,24.9,29.5,1.2,4.4,2842,,,,,,
2022,Alabama,Race,"Other race, Non-Hispanic",_IMPRACE,32.2,18.2,50.4,8.5,26.3,69,,1.7,35.8,7.2,81.2,70,,5,25,4.9,41.5,70,38.2,23.4,55.7,8.5,22.3,69,,,,,,
2022,Alabama,Race,"Asian, Non-Hispanic",_IMPRACE,,2.9,23.9,4.8,54.5,35,,0,0,0,,35,,6.3,35.5,7.2,44.9,35,,10.4,42.1,8.2,36.2,35,,,,,,
2022,Alabama,Race,"American Indian/Alaskan Native, Non-Hispanic",_IMPRACE,,22.6,57.7,9.3,24.1,49,,0.6,8.7,1.6,67.2,49,,4.8,35.2,7.4,52.1,49,,23.2,58.4,9.3,23.7,49,,,,,,
2022,Alabama,Race,Hispanic,_IMPRACE,,7.5,33,6.4,38.2,81,,0.1,3.5,0.5,100.6,80,,8.7,36.7,7.1,37.2,78,25,13.7,41.4,7.2,28.6,78,,,,,,
2023,Alabama,Race,"Black, Non-Hispanic",_IMPRACE,12.5,10.2,15.2,1.3,10.3,1134,3,1.9,4.6,0.7,22.1,1140,5.7,3.9,8.2,1.1,18.6,1135,18.4,15.5,21.7,1.6,8.5,1131,51.2,40.3,62,5.6,0.1,76
2023,Alabama,Race,"Other race, Non-Hispanic",_IMPRACE,14.2,7.8,24.4,4.2,29.4,107,,2,16.7,3.3,55,106,,3.3,19.5,3.8,45.9,104,24.1,15.1,36.3,5.5,22.6,104,,,,,,
2023,Alabama,Race,"White, Non-Hispanic",_IMPRACE,14.6,13,16.4,0.9,6,2811,7.4,6.2,8.8,0.7,9,2822,11,9.3,13,1,8.7,2812,27.5,25.3,29.9,1.2,4.3,2804,50.8,44.1,57.4,3.4,0.1,164
2023,Alabama,Race,"Asian, Non-Hispanic",_IMPRACE,,0.3,13.5,2.1,99.5,42,,0.4,17.2,2.7,98.8,43,,0.2,9.3,1.4,100.2,43,,1.9,18.6,3.7,58.8,42,,,,,,
2023,Alabama,Race,"American Indian/Alaskan Native, Non-Hispanic",_IMPRACE,,37,78.7,11.3,19,32,,0.3,15.7,2.4,100.7,31,,0.8,31.1,5.5,97.4,31,,44.9,83.8,10.4,15.4,32,,,,,,
2023,Alabama,Race,Hispanic,_IMPRACE,,4.3,23.4,4.6,43.6,99,,1.7,17.3,3.4,59.3,99,,6.1,22,3.9,33.1,99,19.9,11.7,31.9,5.2,25.9,99,,,,,,
2019,Alabama,Sex,Female,_SEX,18.3,16.7,20.1,0.9,4.7,4016,1.6,1.1,2.4,0.3,20.8,4021,,,,,,,,,,,,,60.5,55.2,65.6,2.6,0.1,394
2019,Alabama,Sex,Male,_SEX,22.4,20.3,24.5,1.1,4.8,2728,11.4,9.9,13,0.8,6.8,2729,,,,,,,,,,,,,61.3,56,66.3,2.7,0.1,313
2020,Alabama,Sex,Female,_SEX,16.6,14.9,18.5,0.9,5.6,3023,1.6,1.1,2.6,0.4,22.5,3032,,,,,,,,,,,,,60.7,54.7,66.5,3,0.1,270
2020,Alabama,Sex,Male,_SEX,20.5,18.3,22.9,1.2,5.8,2090,10.1,8.6,11.9,0.8,8.2,2094,,,,,,,,,,,,,65,58.8,70.8,3.1,0.1,214
2021,Alabama,Sex,Female,_SEX,15.5,13.7,17.7,1,6.5,2635,1.1,0.7,1.8,0.3,23.9,2639,7.1,5.8,8.7,0.8,10.6,2638,20.6,18.4,22.9,1.1,5.5,2632,,,,,,
2021,Alabama,Sex,Male,_SEX,19.1,16.7,21.7,1.3,6.6,1752,10.3,8.6,12.4,1,9.4,1759,11.4,9.5,13.6,1,9.1,1755,34.3,31.4,37.3,1.5,4.4,1751,,,,,,
2022,Alabama,Sex,Female,_SEX,14.4,12.5,16.5,1,7.1,2528,,0.8,3.1,0.5,35,2536,7.3,5.9,9,0.8,10.8,2525,20.1,17.9,22.5,1.2,5.9,2513,,,,,,
2022,Alabama,Sex,Male,_SEX,16.9,14.6,19.6,1.3,7.5,1760,8.8,7,11.1,1,11.7,1765,13.8,11.4,16.6,1.3,9.7,1761,32.5,29.4,35.7,1.6,4.9,1755,,,,,,
2023,Alabama,Sex,Female,_SEX,11.9,10.3,13.6,0.9,7.2,2501,1.9,1.3,2.6,0.3,17.8,2511,7.8,6.2,9.8,0.9,11.7,2504,19.5,17.3,21.9,1.2,6,2493,50.5,42.7,58.3,4,0.1,142
2023,Alabama,Sex,Male,_SEX,16.8,14.6,19.3,1.2,7.1,1724,10.7,9,12.8,1,9.1,1730,11.3,9.3,13.7,1.1,9.9,1720,31,28.2,34,1.5,4.8,1719,50.8,42.6,58.8,4.2,0.1,110
2019,Alabama,Total Population,Total Population,,20.2,18.9,21.6,0.7,3.4,6744,6.2,5.5,7.1,0.4,6.6,6750,,,,,,,,,,,,,60.9,57.2,64.5,1.9,0,707
2020,Alabama,Total Population,Total Population,,18.5,17.1,20,0.7,4.1,5113,5.7,4.9,6.7,0.4,7.8,5126,,,,,,,,,,,,,63,58.7,67.1,2.2,0.1,484
